종목명,종목코드,영업일자,체결시간,현재가,시가,고가,저가,체결거래량,누적거래대금
KB금융,105560,20250617,132100,106700,106800,106900,106700,2604,69673055650
KB금융,105560,20250617,132200,106600,106800,106800,106600,1054,69785504050
KB금융,105560,20250617,132300,106700,106600,106700,106600,1063,69898897050
KB금융,105560,20250617,132400,106600,106600,106700,106600,1015,70007109300
KB금융,105560,20250617,132500,106600,106700,106700,106600,806,70093045200
KB금융,105560,20250617,132600,106500,106600,106700,106500,2500,70359475100
KB금융,105560,20250617,132700,106400,106500,106600,106400,4107,70796897600
KB금융,105560,20250617,132800,106550,106400,106600,106400,3455,71164797250
KB금융,105560,20250617,132900,106700,106500,106800,106500,4499,71644738500
KB금융,105560,20250617,133000,106500,106700,106800,106500,4664,72142049150
KB금융,105560,20250617,133100,106300,106500,106600,106300,1921,72346555950
KB금융,105560,20250617,133200,106300,106300,106400,106300,1360,72491206850
KB금융,105560,20250617,133300,106350,106350,106350,106300,942,72591352100
KB금융,105560,20250617,133400,106200,106300,106400,106200,6338,73265070850
KB금융,105560,20250617,133500,106400,106200,106500,106200,5567,73857315450
KB금융,105560,20250617,133600,106300,106400,106600,106300,2219,74093541450
KB금융,105560,20250617,133700,106400,106300,106400,106300,3284,74442890350
KB금융,105560,20250617,133800,106400,106400,106500,106400,975,74546655750
KB금융,105560,20250617,133900,106400,106400,106500,106400,899,74642341050
KB금융,105560,20250617,134000,106400,106400,106500,106400,1897,74844195800
KB금융,105560,20250617,134100,106500,106400,106600,106400,5492,75429021800
KB금융,105560,20250617,134200,106500,106500,106600,106500,865,75521151900
KB금융,105560,20250617,134300,106600,106500,106700,106500,1000,75627729300
KB금융,105560,20250617,134400,106500,106600,106700,106500,1147,75749948000
KB금융,105560,20250617,134500,106500,106600,106700,106500,2206,75985067300
KB금융,105560,20250617,134600,106400,106500,106600,106400,2153,76214372350
KB금융,105560,20250617,134700,106400,106400,106500,106400,1410,76364415450
KB금융,105560,20250617,134800,106400,106400,106500,106300,3113,76695627750
KB금융,105560,20250617,134900,106600,106400,106600,106400,1444,76849382250
KB금융,105560,20250617,135000,106500,106500,106600,106400,1611,77020960200
KB금융,105560,20250617,135100,106500,106500,106600,106500,672,77092535300
KB금융,105560,20250617,135200,106700,106500,106800,106500,4075,77527013600
KB금융,105560,20250617,135300,106600,106700,106800,106600,2909,77837322900
KB금융,105560,20250617,135400,106600,106600,106800,106500,3291,78188270900
KB금융,105560,20250617,135500,106800,106500,106900,106500,4648,78684016800
KB금융,105560,20250617,135600,106800,106800,106900,106800,2251,78924437700
KB금융,105560,20250617,135700,106600,106800,106900,106500,3103,79255517300
KB금융,105560,20250617,135800,106800,106600,106800,106500,2359,79507153000
KB금융,105560,20250617,135900,106700,106700,106900,106600,2809,79806887700
